Food_Name,Calories,Protein,Carbs,Fats,Food Category,Source
Peanut Cutlet (Mungfali Ke Cutlet),698.77,2.63,5.68,74.0,Indian,Indian
Fish Cutlet (Machli Ka Cutlet),654.64,2.77,3.13,70.11,Indian,Indian
Paneer Potato Cutlet (Paneer Aloo Cutlet),672.94,2.47,5.23,71.4,Indian,Indian
Spinach Chickpeas Cutlet (Palak Channa Dal Cutlet),688.03,1.44,4.93,73.6,Indian,Indian
Cheese Toast,785.37,1.98,5.49,84.11,Indian,Indian
Vegetable Burger,519.93,3.26,13.69,50.63,Indian,Indian
Cheese Pizza,249.5,5.79,30.62,12.43,Indian,Indian
Vegetable Seekh Kebab,690.73,1.57,5.32,73.72,Indian,Indian
Masala Vada,826.02,1.69,4.06,89.15,Indian,Indian
Peanut Sago Vada (Sabudana Mungfali Vada),749.89,1.01,7.14,79.82,Indian,Indian
Vegeterian Scotch Egg,681.67,2.16,4.64,72.77,Indian,Indian
Paneer Shaslik/Tikka,93.85,5.11,7.98,4.49,Indian,Indian
Peanut Brittle (Moongfali Ki Chikki),320.46,6.94,47.46,11.13,Indian,Indian
Spring Roll,623.87,1.81,8.56,64.63,Indian,Indian
Dry Mango Chutney (Sookhe Aam Ki Chutney),298.13,2.43,69.17,0.7,Indian,Indian
Peanut Chutney (Mungfali Ki Chutney),258.37,11.8,9.87,19.06,Indian,Indian
Coconut Chutney (Nariyal Ki Chutney),265.92,3.59,8.29,25.0,Indian,Indian
Mint And Coriander Chutney (Pudinay Aur Dhaniye Ki Chutney),102.6,2.81,21.18,0.51,Indian,Indian
Custard Tart,225.6,3.72,28.66,10.73,Indian,Indian
Lemon Tart,303.35,6.12,30.68,17.45,Indian,Indian
Jam Tart,360.72,4.42,46.18,17.35,Indian,Indian
Orange Cream Tart,197.16,2.58,27.43,8.72,Indian,Indian
Pineapple Tart,195.4,2.29,28.62,8.21,Indian,Indian
Cheese And Mushroom Tart,246.1,5.51,21.43,15.28,Indian,Indian
Cottage Cheese Pie,238.98,7.45,20.66,13.83,Indian,Indian
Minced Meat Pie,221.55,7.38,18.11,13.04,Indian,Indian
Apple Cinnamon Pie,258.73,3.35,33.68,12.21,Indian,Indian
Lemon Meringue Pie,224.43,3.88,35.11,8.16,Indian,Indian
Chocolate Meringue Pie,214.76,4.98,28.8,9.17,Indian,Indian
Cream Puffs,221.33,4.7,16.0,15.48,Indian,Indian
Chocolate Eclairs,239.42,4.24,26.22,13.5,Indian,Indian
Cheese Balls,681.28,2.21,4.81,72.57,Indian,Indian
Minced Meat Patties,265.72,6.88,15.25,19.57,Indian,Indian
Cheese Patties,324.01,7.38,22.23,22.67,Indian,Indian
Hot Cheese Souffle,177.1,9.18,5.41,13.23,Indian,Indian
Hot Potato Souffle,125.64,5.51,8.56,7.64,Indian,Indian
Hot Fish Souffle,142.92,11.23,3.69,9.24,Indian,Indian
Hot Spinach Souffle,104.25,5.43,4.19,7.24,Indian,Indian
Plain Cream Cake,353.94,6.18,47.18,16.17,Indian,Indian
Apple Cake (Seb Ka Cake),290.08,4.94,39.48,12.87,Indian,Indian
Marble Cake,354.11,6.3,46.88,16.27,Indian,Indian
Chocolate Cake,335.61,6.01,45.14,15.18,Indian,Indian
Orange Cake,357.61,6.1,48.28,16.21,Indian,Indian
Fruit Loaf,324.19,5.36,46.49,13.31,Indian,Indian
Banana Cake (Kele Ka Cake),389.51,5.77,40.0,23.31,Indian,Indian
Chocolate Chiffon Cake,311.71,5.76,37.87,15.8,Indian,Indian
Christmas Cake,372.95,5.49,48.29,16.88,Indian,Indian
Strawberry And Vanilla Cake With Butter Icing,370.54,3.89,44.25,20.39,Indian,Indian
Eggless Cake,318.08,8.12,46.14,11.75,Indian,Indian
Swiss Roll,251.87,7.3,48.34,3.77,Indian,Indian
Pineapple Pastry,208.21,6.06,29.04,7.87,Indian,Indian
Black Forest Pastry,233.55,6.09,34.48,8.46,Indian,Indian
Coconut Finger,274.86,7.09,42.56,8.86,Indian,Indian
Pineapple Cake,195.57,5.01,23.51,9.34,Indian,Indian
Chocolate Walnut Cookies (Chocolate Aur Akhrot Ke Cookies),424.8,6.56,47.1,23.62,Indian,Indian
Chocolate Chip Cookies,425.29,5.79,57.98,19.38,Indian,Indian
Sweet Plain Biscuit,380.76,5.86,50.29,17.67,Indian,Indian
Chocolate Biscuit,379.76,5.88,51.56,17.09,Indian,Indian
Coconut Biscuit (Nariyal Ke Biscuit),434.98,5.78,42.9,27.16,Indian,Indian
Sweet And Salty Biscuit (Meethay Aur Namkeen Biscuit),407.96,6.15,45.09,22.39,Indian,Indian
Peanut Biscuit,401.05,8.45,46.72,20.41,Indian,Indian
Pin Wheel Biscuit,404.6,5.4,54.56,18.66,Indian,Indian
Saffron Biscuit (Kesar Biscuit),458.61,6.05,59.7,22.01,Indian,Indian
Masala Biscuit,393.64,6.06,45.18,20.75,Indian,Indian
Ice Box Cookies,374.24,5.7,56.09,14.44,Indian,Indian
Ginger Bread Man,365.0,6.61,60.26,11.01,Indian,Indian
Danish Cookies,475.33,5.33,58.0,24.92,Indian,Indian
Short Bread Cookies,443.09,6.03,64.82,17.98,Indian,Indian
Coffee Biscuit,416.57,6.9,46.55,23.0,Indian,Indian
Melting Moments,437.91,5.71,55.84,21.78,Indian,Indian
Ginger Biscuit (Adarak Ke Biscuit),417.91,5.98,58.44,18.31,Indian,Indian
Soyabean Muthias,839.33,2.46,3.7,90.45,Indian,Indian
Soyabean Tikki,698.17,3.53,4.39,74.02,Indian,Indian
Soyabean Namak Paras,838.46,2.65,4.65,89.83,Indian,Indian
Peanut Burfi (Moongfali Ki Burfi),550.99,9.31,48.14,36.84,Indian,Indian
Spinach Peanut Namak Paras (Palak Moongfali Namak Paras),740.16,1.65,6.62,78.51,Indian,Indian
Gram Flour And Semolina Chilla/Cheela/Savory Pancake (Besan Suji Chilla/Cheela),758.89,2.08,7.63,80.04,Indian,Indian
Rice Moong Dal Cheela (Chawal Aur Moong Dal Ka Cheela),798.26,2.74,11.13,82.44,Indian,Indian
Split Bengal Gram Sweet Rice (Channa Dal Sweet Rice),190.21,4.15,41.07,0.64,Indian,Indian
Sweet Poori (Meethi Poori),782.75,2.12,14.26,79.63,Indian,Indian
Wheat Flour And Moong Dal Burfi (Atta Aur Moong Dal Ki Burfi),441.08,9.84,60.0,18.41,Indian,Indian
Spinach Burfi (Palak Burfi),121.17,2.71,12.76,6.81,Indian,Indian
Sweet Split Chickpea Roti (Sweet Channa Dal Roti/Puranpoli),366.59,9.51,62.66,7.93,Indian,Indian
Sprouted Moong Daliya,111.56,2.81,14.77,4.71,Indian,Indian
Sprouted Moong Poha,192.6,5.59,26.6,6.89,Indian,Indian
Pearl Millet Ladoo (Bajra Ladoo),319.66,9.61,50.98,8.06,Indian,Indian
Paushtik Ladoo,485.87,7.65,60.34,24.98,Indian,Indian
Paushtik Roti,149.26,7.17,26.59,1.51,Indian,Indian
Semolina Carrot Vada (Suji Gajar Vada),699.53,1.56,6.52,74.07,Indian,Indian
Dhokla,216.49,13.45,30.68,5.28,Indian,Indian
Kashmiri Tea (Kehwa),24.9,0.17,5.23,0.51,Indian,Indian
Steeped Hot Coffee,15.91,0.39,3.01,0.33,Indian,Indian
Hot Chocolate,90.01,3.43,9.02,4.61,Indian,Indian
Cold Coffee (With Cream),82.76,1.93,11.98,3.29,Indian,Indian
Banana Milkshake With Ice Cream (Kele Ka Milkshake Ice Cream Ke Saath),76.45,2.01,11.15,2.77,Indian,Indian
Flavoured Milkshake,66.78,2.06,8.65,2.83,Indian,Indian
Jal Jeera,30.24,0.44,6.7,0.26,Indian,Indian
Gingo,48.02,0.14,12.42,0.06,Indian,Indian
Mintade,40.32,0.03,10.59,0.02,Indian,Indian
Canjee,6.61,0.24,0.44,0.42,Indian,Indian
Cauliflower Canjee (Phoolgobhi Ki Canjee),6.9,0.39,0.35,0.42,Indian,Indian
Potato Canjee (Aloo Canjee),16.26,0.44,2.69,0.39,Indian,Indian
Vermicelli Porridge (Semiya/Seviyan Porridge),78.4,2.5,10.56,2.98,Indian,Indian
Semolina Upma (Suji/Rava Upma),147.89,3.3,16.31,7.49,Indian,Indian
Vermicelli Upma (Semiya/Seviyan Upma),149.11,3.11,16.88,7.45,Indian,Indian
Rice Upma,151.27,2.63,17.96,7.46,Indian,Indian
Bread Upma,129.51,2.8,12.6,7.75,Indian,Indian
Vegetable Upma,146.47,4.73,16.46,6.63,Indian,Indian
Poha,294.53,6.09,35.05,14.14,Indian,Indian
Vegetable Poha,180.52,4.89,21.52,8.07,Indian,Indian
Moong Dal Stuffed Cheela/Chilla (Moong Dal Ka Cheela/Chilla),154.89,6.97,19.42,5.11,Indian,Indian
Paneer Stuffed Cheela/Chilla,205.19,11.44,19.16,8.89,Indian,Indian
Indian Style Egg Bhujia (Anda Bhujia (Indian Style)),102.83,6.1,3.76,7.02,Indian,Indian
French Omelette/Omlet,211.04,10.03,0.41,18.86,Indian,Indian
Puffy Omelette/Omlet,188.15,8.82,0.08,16.84,Indian,Indian
Orange Omelette/Omlet,194.66,8.93,1.68,16.84,Indian,Indian
Cheese And Mushroom Omelette/Omlet,205.63,9.69,1.68,17.82,Indian,Indian
Spanish Omelette/Omlet,157.45,8.25,5.1,11.44,Indian,Indian
Mixed Stock,25.19,2.06,0.33,1.71,Indian,Indian
Meat Stock,24.48,2.1,0.0,1.78,Indian,Indian
White Stock,6.99,0.07,0.4,0.56,Indian,Indian
Meat Consomme (With Mutton),29.76,14.86,0.51,13.68,Indian,Indian
Consomme Au Julienne,27.76,12.49,1.49,10.66,Indian,Indian
Consomme Au Vermicelli,29.94,15.23,1.3,12.98,Indian,Indian
Green Pea Soup (Matar Ka Soup),39.81,11.06,3.63,12.9,Indian,Indian
Spinach Soup (Palak Ka Soup),32.59,10.54,3.03,14.26,Indian,Indian
Mixed Vegetable Soup,35.71,8.22,2.95,11.66,Indian,Indian
Cheese Soup,41.13,12.39,1.87,17.07,Indian,Indian
Mulligatawny Soup,54.42,11.26,8.24,13.28,Indian,Indian
Cream Of Carrot Soup,59.77,8.27,5.69,12.35,Indian,Indian
Cream Of Broccoli Soup,56.14,8.97,3.72,12.75,Indian,Indian
Cream Of Potato Soup,60.2,8.1,6.14,12.05,Indian,Indian
Almond Soup (Badam Ka Soup),78.65,10.13,3.68,13.8,Indian,Indian
Cold Cucumber Cream Soup,11.88,0.34,1.76,0.34,Indian,Indian
Cold Tomato Soup,16.9,0.11,0.59,1.56,Indian,Indian
Chicken Stew,127.55,7.19,4.44,8.91,Indian,Indian
Veg Paneer Stew,145.55,6.98,10.22,8.41,Indian,Indian
Onion-Green Chilli Parantha/Paratha (Pyaaz Aur Hari Mirch Ka Parantha/Paratha),191.27,4.37,26.37,7.27,Indian,Indian
Methi Parantha/Paratha,148.36,4.27,22.19,4.34,Indian,Indian
Bathua Poori,598.79,2.35,13.85,59.14,Indian,Indian
Gram Flour Poori (Besan Poori),697.66,2.59,10.93,71.51,Indian,Indian
Beetroot Poori (Chukandar Ki Poori),527.66,1.91,12.29,52.18,Indian,Indian
Peas Poori (Matar Ki Poori),592.83,3.04,14.92,57.69,Indian,Indian
Peas Kachori (Matar Kachori),584.68,3.21,13.25,57.51,Indian,Indian
Pizza,146.77,6.85,9.94,8.72,Indian,Indian
Bacon And Mushroom Pancake,157.67,6.82,8.47,10.6,Indian,Indian
Cheese And Tomato Pancake,147.39,5.15,10.66,9.28,Indian,Indian
Minced Meat Pancake (With Chicken),116.04,12.01,8.18,10.48,Indian,Indian
Eggplant/Brinjal Rice (Vangi Bhat),184.8,5.28,31.74,3.67,Indian,Indian
Kashmiri 'Tahar',98.21,1.95,19.11,1.37,Indian,Indian
Cumin Pulao (Jeera/Zeera Pulao),135.24,2.47,23.61,3.2,Indian,Indian
Peas Pulao (Matar Pulao),108.87,3.89,18.42,1.9,Indian,Indian
Split Bengal Gram Dal And Vegetable Pulao (Channa Dal And Vegetable Pulao),116.53,3.6,19.72,2.3,Indian,Indian
Black Channa Pulao/ Bengal Gram Pulao (Kale Chane Ka Pulao),125.51,3.44,21.55,2.58,Indian,Indian
Mutton Pulao,130.77,6.52,11.26,10.78,Indian,Indian
Chicken Pulao,108.24,6.07,11.17,8.48,Indian,Indian
Mexican Rice,120.57,4.62,14.21,4.88,Indian,Indian
Plain Khitchdi (Plain Khichri/Khichdi),57.03,1.72,10.04,1.01,Indian,Indian
Instant Idli (With Semolina),247.29,9.16,43.4,3.61,Indian,Indian
Plain Dosa,380.91,10.34,64.08,8.43,Indian,Indian
Masala Dosa Mixed Vegetable Fillings,144.53,4.84,23.02,3.26,Indian,Indian
Masala Dosa Paneer Fillings,243.12,10.31,29.76,8.84,Indian,Indian
Uttapam,255.95,6.18,36.28,9.03,Indian,Indian
Appam,267.7,3.12,13.28,22.63,Indian,Indian
Beans And Macaroni,136.08,4.58,14.24,7.01,Indian,Indian
Spaghetti Bolognese,97.43,9.35,10.04,9.51,Indian,Indian
Meat And Macaroni Casserole,161.55,9.15,16.12,10.17,Indian,Indian
Spaghetti With Meat Balls And Tomato Sauce,158.13,5.61,10.46,10.64,Indian,Indian
Spaghetti With Paneer Balls And Tomato Sauce,158.54,3.95,12.72,10.44,Indian,Indian
Lasagne With Meat Sauce,63.38,2.9,5.38,3.43,Indian,Indian
Lasagne With Vegetables,49.23,1.71,5.9,2.16,Indian,Indian
Home Made Egg Noodles,240.84,6.55,42.92,4.37,Indian,Indian
Sour Lentils (Khatti Dal),34.79,2.22,6.04,0.12,Indian,Indian
Urad Special Dehusked,69.43,3.14,8.86,2.17,Indian,Indian
Arhar With Spinach (Arhar Dal Aur Palak),52.84,2.05,4.77,2.76,Indian,Indian
Moong Dal With Vadi,24.08,0.4,1.0,2.05,Indian,Indian
Rasam With Tamarind (Puli Rasam/ Chintapandu Rasam/ Charu/Saaru),26.74,1.13,3.37,0.88,Indian,Indian
Rasam With Lemon (Nimmakaya Rasam/Nimmakaya Charu/Elumichai Rasam/Nimbe Hannina Saaru),24.41,1.11,2.85,0.87,Indian,Indian
Green Gram Whole With Baghar (Sabut Moong Dal With Tadka),63.43,3.23,6.8,2.48,Indian,Indian
Urad Sabut Special,79.39,2.33,5.03,5.46,Indian,Indian
Kabuli Channa Curry,68.57,2.92,7.63,3.06,Indian,Indian
Besan Gatte Curry,189.38,7.75,16.26,10.72,Indian,Indian
Dry Masala Chops,135.07,9.08,3.3,9.54,Indian,Indian
Mutton Korma,115.64,7.09,2.53,8.54,Indian,Indian
Shahi Keema Kofta Curry,418.13,4.14,1.73,43.83,Indian,Indian
Minced Meat Ball Curry,109.79,6.82,2.86,7.85,Indian,Indian
Boti Kebab,132.86,9.22,3.06,9.27,Indian,Indian
Mutton Seekh Kebab,133.94,11.25,3.11,8.43,Indian,Indian
Indian Lamb And Egg Curry (Nargisi Kofta),335.75,3.84,2.07,34.7,Indian,Indian
Soya Chunks Sweet And Sour (Nutrinugget Sweet And Sour),500.94,2.85,3.27,55.99,Indian,Indian
Soya Chunks Korma (Nutrinugget Korma),131.43,3.86,7.67,9.5,Indian,Indian
Mushroom Matar,70.77,2.79,5.33,4.11,Indian,Indian
Soya Chunks And Peas (Nutrinugget Matar),82.62,3.03,5.82,5.11,Indian,Indian
Vegetable Yakhni,406.06,1.18,1.94,43.8,Indian,Indian
Spinach Mushroom (Palak Mushroom),47.63,1.94,2.95,2.96,Indian,Indian
Vegetarian Nargisi Kofta Curry,332.15,2.29,6.58,32.94,Indian,Indian
Roast Chicken,199.9,20.49,0.1,13.06,Indian,Indian
Shahi Chicken Masala,163.7,9.82,4.07,12.02,Indian,Indian
Tomato Chicken,111.68,10.57,2.13,6.71,Indian,Indian
Creamy Chicken,152.87,13.52,3.13,9.57,Indian,Indian
Broccoli Chicken Ala King,119.56,7.97,5.34,7.57,Indian,Indian
Ginger Chicken,129.17,8.24,5.6,8.24,Indian,Indian
Chicken Sweet And Sour,445.09,6.92,2.67,47.59,Indian,Indian
Chicken Korma,147.96,9.83,5.43,9.67,Indian,Indian
Bengal Fish Curry (Bengali Machli Curry),109.43,7.26,4.42,7.03,Indian,Indian
Fish Finger,542.9,5.66,4.47,55.82,Indian,Indian
Fish In Coconut Milk (Nariyal Ke Doodh Ke Saath Machli),86.21,8.66,2.73,4.43,Indian,Indian
Prawn Curry (With Coconut) (Jhinga Curry),109.55,8.54,3.1,6.93,Indian,Indian
Baked Stuffed Fish,121.96,16.14,2.12,5.43,Indian,Indian
Fish Pie,120.9,9.25,7.74,5.77,Indian,Indian
Crispy Baked Fish,138.4,10.95,9.59,6.41,Indian,Indian
Fish Souffle,139.71,10.51,5.14,8.55,Indian,Indian
Potato Curry (Aloo Ki Sabzi),89.56,1.52,10.42,4.47,Indian,Indian
Egg Curry (Anda Curry),117.52,5.38,4.03,8.81,Indian,Indian
Vegetable Curry With Coconut,83.07,2.77,7.19,4.66,Indian,Indian
Curd With Potatoes (Dahi Aloo),59.9,1.56,7.15,2.72,Indian,Indian
Potato Kofta Curry (Aloo Kofta Curry),455.4,0.56,2.78,49.08,Indian,Indian
Yam Kofta Curry (Zimikand/Suran Kofta Curry),322.88,0.71,3.75,33.84,Indian,Indian
Jackfruit Kofta Curry (Kathal Ka Kofta Curry),321.08,0.8,3.17,33.83,Indian,Indian
Spinach And Potato (Palak Aloo),57.17,1.63,5.91,2.82,Indian,Indian
Mooli Bhujia,91.2,1.69,4.74,7.25,Indian,Indian
Bathua Bhujia,90.9,2.26,3.63,7.29,Indian,Indian
Cabbage Rolls (Dry) ((Pattagobhi Rolls) (Dry)),142.48,8.21,6.09,9.36,Indian,Indian
Cabbage Rolls (Curry) ((Pattagobhi Rolls)(Curry)),124.63,5.76,7.03,8.17,Indian,Indian
Dry Arbi (Sookhi Arbi),134.95,2.12,11.11,8.97,Indian,Indian
Masala Arbi,185.38,3.01,16.16,11.9,Indian,Indian
Peas Brinjal Bhartha (Matar Baingan Bhartha),84.55,2.05,5.02,6.05,Indian,Indian
Okra/Lady'S Fingers Fry (Bhindi Sabzi/Sabji/Subji),110.81,1.83,4.5,9.27,Indian,Indian
Crispy Okra/Crispy Lady'S Fingers (Karare Bhindi),657.76,1.91,4.35,70.4,Indian,Indian
Beans Foogath,105.06,2.03,3.26,9.22,Indian,Indian
Stuffed Bittergourd (Wet) (Bharwa Karele),162.36,1.36,4.68,15.24,Indian,Indian
Jackfruit/Kathal (Dry),488.97,0.93,4.56,51.78,Indian,Indian
Yam Fried (Zimikand/Suran Fried),491.76,0.79,5.47,51.79,Indian,Indian
"Cauliflower, Pea And Potato Bhujia (Phoolgobhi, Matar Aur Aloo Bhujia)",95.67,2.75,8.23,5.54,Indian,Indian
Vegetable Jalfrezi,68.48,1.4,5.43,4.38,Indian,Indian
Vegetables Stir Fry,30.78,1.04,3.19,1.47,Indian,Indian
Broccoli Delight,40.7,2.49,2.34,2.48,Indian,Indian
Dhansak (Vegetarian),82.8,3.32,7.28,4.18,Indian,Indian
Cauliflower Basket,90.95,5.21,3.97,5.88,Indian,Indian
Stuffed Bottle Gourd (Stuffed Ghiya/Lauki),93.19,5.84,4.36,5.8,Indian,Indian
Ducheese Potato,140.54,3.6,10.94,9.01,Indian,Indian
Roast Potatoes,87.32,1.53,14.52,2.35,Indian,Indian
Stuffed Baked Potatoes,100.2,3.82,11.03,4.39,Indian,Indian
Potato Nests,111.62,5.71,11.05,4.77,Indian,Indian
Parsley Potato,119.51,1.49,13.81,6.28,Indian,Indian
Creamed Spinach And Mushroom,419.62,2.28,3.17,44.14,Indian,Indian
Fricassee Of Mushroom,106.66,3.65,8.13,6.63,Indian,Indian
Cauliflower Au Gratin,145.9,4.45,9.13,10.2,Indian,Indian
Vegetable And Cheese Pie,126.88,4.03,8.76,8.28,Indian,Indian
Spinach Souffle,150.18,7.36,6.27,10.52,Indian,Indian
Beetroot And Egg Salad (Chukandar Aur Ande Ka Salad),84.92,3.36,3.4,6.45,Indian,Indian
Sour Cream Potato Salad,121.9,2.89,9.05,8.13,Indian,Indian
Tossed Green Salad,49.88,1.33,3.82,3.24,Indian,Indian
Spring Basket Salad,160.46,3.36,11.61,11.3,Indian,Indian
Cucumber And Yogurt Salad (Kheere Aur Dahi Ka Salad),36.13,2.09,4.72,0.93,Indian,Indian
Chicken And Tomato Towers,100.55,6.9,2.36,6.99,Indian,Indian
Jellied Sunshine Fruit Salad,48.86,5.85,4.21,0.85,Indian,Indian
Tomato Aspic,50.37,6.87,5.02,0.26,Indian,Indian
Frozen Frosty Fruit Salad (Phalon Ka Salaad),103.51,1.68,15.61,4.17,Indian,Indian
French Dressing,733.77,0.32,3.68,79.65,Indian,Indian
Mayonnaise Without Eggs,329.05,2.13,3.98,33.84,Indian,Indian
Curd Dressing,78.8,5.59,8.03,2.9,Indian,Indian
Carrot Raita (Gajar Ka Raita),64.78,4.14,7.19,2.19,Indian,Indian
Pumpkin Raita (Kaddu Ka Raita),55.6,3.74,6.02,1.88,Indian,Indian
Mint And Peanut Raita (Pudinay Aur Moongfali Ka Raita),112.05,7.05,7.31,6.19,Indian,Indian
Spinach Raita (Palak Ka Raita),52.75,3.95,5.06,1.86,Indian,Indian
Bathua Raita,54.4,4.13,5.31,1.76,Indian,Indian
Pineapple Raita (Ananas Ka Raita),67.74,3.9,8.62,2.02,Indian,Indian
Banana Raita (Kele Ka Raita),89.03,4.13,13.51,2.07,Indian,Indian
Mango Raita (Aam Ka Raita),67.37,3.9,8.23,2.14,Indian,Indian
Guava Raita (Amarood Ka Raita),64.36,4.19,7.27,2.07,Indian,Indian
Grapes Raita (Angoor Ka Raita),72.59,3.98,9.66,2.07,Indian,Indian
Bottle Gourd Kheer (Ghiya/Lauki Kheer),84.07,2.7,10.0,3.86,Indian,Indian
Pumpkin Kheer (Kaddu Ki Kheer),86.35,2.76,10.44,3.86,Indian,Indian
Apple Kheer (Seb Ki Kheer),81.3,2.14,11.34,3.18,Indian,Indian
Caramel Custard (Baked),122.7,5.11,14.95,5.01,Indian,Indian
Vanilla Ice Cream Without Egg,228.67,2.69,14.21,18.15,Indian,Indian
Vanilla Ice Cream With Egg,214.85,4.16,11.71,17.02,Indian,Indian
Strawberry Ice Cream,215.61,4.15,12.26,16.96,Indian,Indian
Chocochip Ice Cream,241.45,4.23,16.75,17.93,Indian,Indian
Choconut Ice Cream,273.96,5.04,23.13,18.49,Indian,Indian
Pear Chocholate Sunday,183.49,2.08,15.02,13.11,Indian,Indian
Chocolate Sauce,263.2,1.91,43.21,10.39,Indian,Indian
Coffee Ice Cream,150.62,3.15,14.09,9.43,Indian,Indian
Coffee Pear Alaska,203.99,2.88,19.36,13.22,Indian,Indian
Crunchy Butterscotch,277.32,3.11,19.92,20.99,Indian,Indian
Peach Melba Ice Cream,200.85,2.06,16.31,14.51,Indian,Indian
Vanilla Ice Cream With Apples In Hot Cherry Sauce,196.32,1.73,22.75,11.45,Indian,Indian
Grape And Orange Whip,57.39,1.41,6.72,2.62,Indian,Indian
Honey Banana Cream,125.49,2.78,13.64,6.68,Indian,Indian
Raspberry Bavarian Cream,150.1,3.34,17.82,7.88,Indian,Indian
Fruit Delight,107.09,2.09,9.11,7.09,Indian,Indian
Creamy Chocolate Mousse,230.52,6.85,9.53,18.16,Indian,Indian
Cold Lemon Souffle,169.87,5.89,15.62,9.78,Indian,Indian
Cold Orange Souffle,173.19,5.94,16.27,9.82,Indian,Indian
Cold Pineapple Souffle,181.22,6.23,16.85,10.39,Indian,Indian
Cold Vanilla Souffle,179.54,6.22,16.29,10.32,Indian,Indian
Cold Chocolate Souffle,187.53,6.37,17.22,10.86,Indian,Indian
Stewed Fruit (With Pear),74.32,0.25,18.22,0.32,Indian,Indian
Apricot Fool,240.79,1.54,33.64,11.35,Indian,Indian
Pavlova,200.6,1.84,21.84,12.29,Indian,Indian
Apple Crumb Pudding,220.85,1.54,35.17,8.87,Indian,Indian
Steamed Cake With Chocolate Sauce,301.91,4.49,29.06,19.01,Indian,Indian
Hot Lemon Souffle,155.25,5.29,16.31,7.93,Indian,Indian
Gulab Jamun With Milk Powder,471.15,0.85,28.24,40.15,Indian,Indian
Chum Chum,130.05,1.52,28.27,1.92,Indian,Indian
Dil Bahar,130.05,1.52,28.27,1.92,Indian,Indian
Rasbhari,130.05,1.52,28.27,1.92,Indian,Indian
Rajbogh,133.7,1.71,28.16,2.28,Indian,Indian
Rasgulla,118.64,1.38,25.79,1.75,Indian,Indian
Rasmalai,135.55,1.61,29.17,2.11,Indian,Indian
Khoa Coconut Burfi,411.45,9.98,36.55,26.01,Indian,Indian
Danedar Burfi,102.68,3.24,12.33,4.72,Indian,Indian
Semolina Burfi (Suji/Rava Burfi),348.67,3.47,47.1,16.86,Indian,Indian
Pumpkin Coconut Burfi (Kaddu Aur Nariyal Ki Burfi),186.18,1.75,17.02,12.66,Indian,Indian
Khoa Ladoo,396.02,12.21,34.43,24.09,Indian,Indian
Wheat And Gram Flour Ladoo (Atta Besan Ladoo),501.7,9.38,50.5,29.86,Indian,Indian
Semolina Ladoo With Nuts (Suji/Rava Ladoo With Nuts),441.84,5.44,48.02,25.45,Indian,Indian
Sesame Chickpeas Brittle (Til Aur Channe Ki Chikki),282.74,8.5,50.49,4.66,Indian,Indian
Murmura Chikki,253.82,2.12,59.59,0.32,Indian,Indian
Masala Onion Pakora/Pakoda (Pyaaz Ke Pakode),551.64,2.05,6.48,57.61,Indian,Indian
Masala Green Chilli Pakora/Pakoda (Hari Mirch Kay Pakode),668.76,2.22,5.55,71.01,Indian,Indian
Chicken Pakora/Pakoda,590.09,6.03,4.55,60.98,Indian,Indian
Fish Pakora/Pakoda,577.03,5.97,4.55,59.52,Indian,Indian
Paneer Cutlet,672.2,4.59,7.62,69.38,Indian,Indian
Sago Cutlet/Vadas (Sabudana Cutlet/Vadas),558.76,0.56,11.23,56.97,Indian,Indian
Poshtik Cutlet,496.45,2.0,7.39,50.94,Indian,Indian
Egg Cutlet (Anda Cutlet),575.02,2.45,5.77,60.25,Indian,Indian
Minced Meat Cutlet,531.86,5.1,5.61,54.47,Indian,Indian
Vegetable Samosa,443.11,2.21,13.22,42.22,Indian,Indian
Plain Urad Dal Vada (Uzunne Vada/Minapa Garelu/Ulundu Vadai/Medu Vada),745.5,4.39,9.7,76.32,Indian,Indian
Masala Urad Dal Vada,703.78,4.32,9.93,71.62,Indian,Indian
Khaman (Dhokla),54.73,1.92,5.36,2.8,Indian,Indian
Instant Dhokla,207.11,7.66,24.11,9.37,Indian,Indian
Tomato Ginger Chutney (Tamatar Adarak Ki Chutney),44.66,1.05,9.11,0.32,Indian,Indian
Mint Tomato Chutney (Pudinay Aur Tamatar Ki Chutney),43.65,1.53,8.22,0.36,Indian,Indian
Coriander Chutney (Hare Dhaniye Ki Chutney),42.86,1.38,8.16,0.37,Indian,Indian
Gooseberry Chutney (Amla Chutney),43.02,1.44,8.83,0.62,Indian,Indian
Walnut Chutney (Akhrot Ki Chutney),370.43,9.44,8.91,33.46,Indian,Indian
Saunth/Sonth Chutney With Ginger,84.22,0.28,20.62,0.11,Indian,Indian
Gun Powder Chutney,312.34,21.55,47.65,2.67,Indian,Indian
Dessicated Coconut Chutney (Sookhe Kase Nariyal Ki Chutney),346.36,12.88,36.72,15.88,Indian,Indian
Curd Mint Dip,76.13,4.82,9.11,2.44,Indian,Indian
Curd Vegetable Dip,56.21,3.88,6.04,1.94,Indian,Indian
Mayonnaise Vegetable Dip,241.27,3.01,4.8,23.44,Indian,Indian
Tomato And Cucumber Sandwich (Tamatar Aur Kheere Ka Sandwich),150.68,4.03,20.51,6.31,Indian,Indian
Tomato Sandwich (Grilled),189.92,6.26,21.29,9.39,Indian,Indian
French Sandwich (Toasted),186.75,6.82,14.82,11.51,Indian,Indian
